                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3194,                 1.2646,                 1.3989,                 0.6884,                0.63708,                0.69963,                0.48388,                 1.2518,                 1.1833,                 1.3539,               0.006733,               0.006733,               0.006733
                     35,                 1.3082,                   1.25,                 1.3881,                0.68201,                0.64638,                0.70231,                0.48681,                 1.2462,                 1.1725,                 1.3477,               0.006634,               0.006634,               0.006634
                     36,                  1.309,                 1.2416,                 1.3879,                0.70213,                0.63779,                0.70668,                0.49131,                 1.2438,                 1.1579,                 1.3463,               0.006535,               0.006535,               0.006535
                     37,                 1.3001,                 1.2256,                 1.3803,                0.72305,                0.63534,                0.71106,                0.49691,                 1.2329,                 1.1485,                 1.3358,               0.006436,               0.006436,               0.006436
                     38,                 1.2886,                 1.2094,                 1.3688,                0.70705,                0.65081,                 0.7156,                0.49919,                 1.2316,                 1.1423,                 1.3343,               0.006337,               0.006337,               0.006337
                     39,                 1.2896,                 1.2044,                 1.3642,                0.72373,                0.64968,                0.72033,                 0.5028,                 1.2284,                 1.1266,                 1.3294,               0.006238,               0.006238,               0.006238
                     40,                 1.2756,                 1.1882,                 1.3564,                0.73353,                0.64895,                0.72391,                0.50618,                 1.2251,                 1.1206,                 1.3236,               0.006139,               0.006139,               0.006139
                     41,                 1.2739,                 1.1699,                 1.3518,                0.72623,                0.65532,                 0.7271,                0.50845,                 1.2203,                 1.1084,                 1.3194,                0.00604,                0.00604,                0.00604
                     42,                 1.2662,                 1.1666,                 1.3439,                0.74416,                0.64968,                 0.7305,                0.51126,                 1.2154,                 1.0979,                 1.3129,               0.005941,               0.005941,               0.005941
                     43,                  1.259,                 1.1614,                 1.3429,                0.74802,                0.65053,                0.73399,                0.51479,                 1.2118,                 1.0874,                 1.3104,               0.005842,               0.005842,               0.005842
                     44,                  1.261,                 1.1503,                 1.3429,                0.72306,                0.66741,                0.73636,                0.51704,                 1.2058,                 1.0766,                 1.3055,               0.005743,               0.005743,               0.005743
                     45,                 1.2469,                 1.1214,                 1.3284,                0.73013,                0.66542,                0.73744,                0.51888,                 1.2046,                 1.0711,                 1.3036,               0.005644,               0.005644,               0.005644
                     46,                 1.2459,                 1.1172,                 1.3237,                0.73433,                0.66738,                0.73948,                0.52102,                 1.1991,                 1.0652,                 1.2986,               0.005545,               0.005545,               0.005545
                     47,                  1.229,                 1.0944,                 1.3109,                0.73322,                0.67131,                0.74208,                0.52349,                  1.194,                 1.0615,                 1.2933,               0.005446,               0.005446,               0.005446
                     48,                 1.2243,                 1.0853,                 1.3075,                 0.7344,                0.67743,                0.74422,                0.52527,                 1.1896,                 1.0575,                 1.2879,               0.005347,               0.005347,               0.005347
                     49,                  1.224,                 1.0791,                 1.3071,                0.73798,                0.67649,                0.74549,                0.52742,                 1.1862,                 1.0506,                 1.2844,               0.005248,               0.005248,               0.005248
                     50,                 1.2164,                 1.0666,                 1.3012,                0.73778,                0.68018,                0.74802,                0.52973,                  1.183,                 1.0445,                 1.2815,               0.005149,               0.005149,               0.005149
                     51,                 1.2126,                 1.0652,                 1.2967,                0.75796,                0.67125,                0.75044,                0.53196,                 1.1809,                 1.0388,                 1.2792,                0.00505,                0.00505,                0.00505
                     52,                 1.2026,                 1.0428,                 1.2887,                0.76036,                0.67201,                0.75298,                0.53401,                 1.1778,                 1.0316,                 1.2767,               0.004951,               0.004951,               0.004951
                     53,                 1.1961,                 1.0379,                 1.2869,                0.76226,                0.67584,                0.75444,                0.53605,                 1.1753,                 1.0242,                 1.2748,               0.004852,               0.004852,               0.004852
                     54,                 1.1963,                 1.0333,                 1.2816,                0.76689,                0.67443,                0.75706,                0.53721,                 1.1735,                 1.0183,                 1.2729,               0.004753,               0.004753,               0.004753
                     55,                 1.1847,                 1.0149,                 1.2743,                 0.7663,                0.67854,                0.75867,                0.53947,                 1.1715,                 1.0121,                 1.2712,               0.004654,               0.004654,               0.004654
                     56,                  1.181,                 1.0038,                 1.2684,                0.76567,                0.68006,                 0.7601,                0.54047,                 1.1704,                 1.0071,                 1.2697,               0.004555,               0.004555,               0.004555
                     57,                 1.1718,                0.99728,                 1.2638,                0.76454,                0.68275,                0.76228,                0.54242,                  1.169,                 1.0006,                 1.2681,               0.004456,               0.004456,               0.004456
                     58,                 1.1681,                0.99121,                 1.2568,                0.77217,                0.68267,                0.76428,                0.54409,                 1.1675,                0.99534,                 1.2664,               0.004357,               0.004357,               0.004357
                     59,                  1.163,                0.97558,                 1.2525,                0.76702,                0.68666,                0.76575,                0.54546,                 1.1656,                0.99102,                 1.2641,               0.004258,               0.004258,               0.004258
                     60,                 1.1539,                0.96569,                 1.2474,                0.76998,                0.68719,                0.76678,                0.54659,                 1.1635,                0.98592,                 1.2626,               0.004159,               0.004159,               0.004159
                     61,                 1.1399,                0.95193,                 1.2367,                0.77595,                0.68719,                0.76839,                0.54815,                 1.1614,                0.98158,                 1.2609,                0.00406,                0.00406,                0.00406
                     62,                 1.1415,                0.94799,                 1.2407,                0.77966,                0.68746,                0.76984,                0.55017,                 1.1596,                0.97802,                 1.2595,               0.003961,               0.003961,               0.003961
                     63,                 1.1342,                0.93422,                 1.2326,                0.78261,                0.68615,                0.77082,                0.55125,                 1.1571,                0.97352,                 1.2574,               0.003862,               0.003862,               0.003862
                     64,                 1.1247,                0.92017,                 1.2245,                0.77892,                0.68939,                0.77244,                0.55282,                 1.1548,                 0.9688,                 1.2555,               0.003763,               0.003763,               0.003763
                     65,                 1.1192,                 0.9183,                 1.2221,                 0.7814,                0.69143,                0.77366,                0.55363,                 1.1526,                0.96535,                 1.2533,               0.003664,               0.003664,               0.003664
                     66,                 1.1166,                0.90765,                 1.2181,                0.77823,                0.69449,                0.77486,                0.55535,                 1.1503,                 0.9621,                  1.251,               0.003565,               0.003565,               0.003565
                     67,                 1.1067,                0.89642,                 1.2086,                 0.7815,                0.69332,                0.77592,                0.55657,                 1.1483,                0.95893,                 1.2489,               0.003466,               0.003466,               0.003466
                     68,                 1.1001,                 0.8834,                 1.2032,                0.79113,                0.69125,                0.77715,                0.55787,                 1.1457,                0.95511,                 1.2465,               0.003367,               0.003367,               0.003367
                     69,                 1.0988,                 0.8769,                  1.203,                0.79367,                0.69022,                0.77879,                0.55962,                 1.1435,                0.95128,                 1.2445,               0.003268,               0.003268,               0.003268
                     70,                 1.0947,                0.87316,                 1.1993,                0.79418,                0.69357,                 0.7807,                0.56087,                 1.1414,                0.94685,                 1.2428,               0.003169,               0.003169,               0.003169
                     71,                 1.0821,                0.86338,                 1.1918,                0.78978,                0.69671,                0.78174,                0.56229,                 1.1391,                0.94312,                 1.2408,                0.00307,                0.00307,                0.00307
                     72,                 1.0731,                0.84296,                 1.1878,                0.79227,                0.69762,                0.78332,                0.56381,                 1.1368,                 0.9394,                 1.2387,               0.002971,               0.002971,               0.002971
                     73,                 1.0691,                0.84385,                 1.1833,                0.79071,                0.69946,                0.78444,                0.56521,                 1.1348,                0.93595,                  1.237,               0.002872,               0.002872,               0.002872
